K,n_true,n,rho,umbral_bf,p_any,p_true
10,1,100,0.4,10,0.819,0.81875
10,1,120,0.0,4,0.03925,
10,1,120,0.0,6,0.0255,
10,1,120,0.0,10,0.0165,
10,1,120,0.3,4,0.689,0.67875
10,1,120,0.3,6,0.63325,0.6255
10,1,120,0.3,10,0.55725,0.55
10,1,120,0.4,4,0.95225,0.9515
10,1,120,0.4,6,0.9365,0.935
10,1,120,0.4,10,0.907,0.90575
10,1,140,0.0,4,0.04325,
10,1,140,0.0,6,0.02675,
10,1,140,0.0,10,0.016,
10,1,140,0.3,4,0.76925,0.75875
10,1,140,0.3,6,0.71775,0.71
10,1,140,0.3,10,0.65475,0.65
10,1,140,0.4,4,0.97825,0.977
10,1,140,0.4,6,0.9705,0.96925
10,1,140,0.4,10,0.958,0.95725
10,1,160,0.0,4,0.0395,
10,1,160,0.0,6,0.025,
10,1,160,0.0,10,0.01375,
10,1,160,0.3,4,0.83275,0.82875
10,1,160,0.3,6,0.79075,0.7885
10,1,160,0.3,10,0.7455,0.74325
10,1,160,0.4,4,0.99275,0.99225
10,1,160,0.4,6,0.98925,0.98875
10,1,160,0.4,10,0.98225,0.98175
14,1,40,0.0,4,0.1145,
14,1,40,0.0,6,0.0745,
14,1,40,0.0,10,0.04275,
14,1,40,0.3,4,0.22475,0.13975
14,1,40,0.3,6,0.16825,0.10825
14,1,40,0.3,10,0.11525,0.07725
14,1,40,0.4,4,0.352,0.296
14,1,40,0.4,6,0.2835,0.2455
14,1,40,0.4,10,0.209,0.18575
14,1,50,0.0,4,0.10325,
14,1,50,0.0,6,0.06575,
14,1,50,0.0,10,0.03775,
14,1,50,0.3,4,0.272,0.20675
14,1,50,0.3,6,0.21225,0.16275
14,1,50,0.3,10,0.151,0.12175
14,1,50,0.4,4,0.4955,0.4475
14,1,50,0.4,6,0.42175,0.38725
14,1,50,0.4,10,0.334,0.3125
14,1,60,0.0,4,0.09375,
14,1,60,0.0,6,0.0595,
14,1,60,0.0,10,0.03675,
14,1,60,0.3,4,0.32175,0.273
14,1,60,0.3,6,0.25425,0.222
14,1,60,0.3,10,0.19325,0.172
14,1,60,0.4,4,0.5855,0.5525
14,1,60,0.4,6,0.51425,0.49075
14,1,60,0.4,10,0.433,0.4175
14,1,72,0.0,4,0.0865,
14,1,72,0.0,6,0.05725,
14,1,72,0.0,10,0.03475,
14,1,72,0.3,4,0.40825,0.3685
14,1,72,0.3,6,0.34225,0.31275
14,1,72,0.3,10,0.27175,0.255
14,1,72,0.4,4,0.71025,0.6925
