K,n_total,n_por_grupo,d,d_h,umbral_bf,p_any,p_true
14,72,36,0.8,0.0,4,0.59525,0.56775
14,72,36,0.8,0.0,6,0.52975,0.50875
14,72,36,0.8,0.0,10,0.44725,0.433
14,72,36,1.0,0.0,4,0.82625,0.81375
14,72,36,1.0,0.0,6,0.77975,0.7705
14,72,36,1.0,0.0,10,0.713,0.70425
14,84,42,0.0,0.0,4,0.071,
14,84,42,0.0,0.0,6,0.04775,
14,84,42,0.0,0.0,10,0.02825,
14,84,42,0.5,0.0,4,0.28,0.22975
14,84,42,0.5,0.0,6,0.2185,0.18325
14,84,42,0.5,0.0,10,0.16275,0.14225
14,84,42,0.65,0.0,4,0.49925,0.4605
14,84,42,0.65,0.0,6,0.42,0.391
14,84,42,0.65,0.0,10,0.34525,0.329
14,84,42,0.7,0.0,4,0.56925,0.53875
14,84,42,0.7,0.0,6,0.493,0.47
14,84,42,0.7,0.0,10,0.4105,0.3965
14,84,42,0.8,0.0,4,0.702,0.683
14,84,42,0.8,0.0,6,0.64175,0.628
14,84,42,0.8,0.0,10,0.56025,0.5505
14,84,42,1.0,0.0,4,0.8995,0.89325
14,84,42,1.0,0.0,6,0.8705,0.866
14,84,42,1.0,0.0,10,0.82375,0.819
14,100,50,0.0,0.0,4,0.06775,
14,100,50,0.0,0.0,6,0.046,
14,100,50,0.0,0.0,10,0.026,
14,100,50,0.5,0.0,4,0.33975,0.299
14,100,50,0.5,0.0,6,0.276,0.24775
14,100,50,0.5,0.0,10,0.2085,0.19275
14,100,50,0.65,0.0,4,0.589,0.5645
14,100,50,0.65,0.0,6,0.52625,0.5075
14,100,50,0.65,0.0,10,0.4475,0.43375
14,100,50,0.7,0.0,4,0.66575,0.64575
14,100,50,0.7,0.0,6,0.607,0.594
14,100,50,0.7,0.0,10,0.53625,0.52675
14,100,50,0.8,0.0,4,0.80275,0.792
14,100,50,0.8,0.0,6,0.757,0.748
14,100,50,0.8,0.0,10,0.692,0.6875
14,100,50,1.0,0.0,4,0.95925,0.9565
14,100,50,1.0,0.0,6,0.94525,0.942
14,100,50,1.0,0.0,10,0.9225,0.9205
14,120,60,0.0,0.0,4,0.06425,
14,120,60,0.0,0.0,6,0.03975,
14,120,60,0.0,0.0,10,0.0225,
14,120,60,0.5,0.0,4,0.41225,0.3765
14,120,60,0.5,0.0,6,0.34,0.3155
14,120,60,0.5,0.0,10,0.2785,0.26425
14,120,60,0.65,0.0,4,0.674,0.6575
14,120,60,0.65,0.0,6,0.61275,0.60275
14,120,60,0.65,0.0,10,0.54475,0.5365
14,120,60,0.7,0.0,4,0.7675,0.75375
14,120,60,0.7,0.0,6,0.7195,0.70875
14,120,60,0.7,0.0,10,0.66525,0.659
14,120,60,0.8,0.0,4,0.88025,0.87275
14,120,60,0.8,0.0,6,0.84775,0.84275
14,120,60,0.8,0.0,10,0.7975,0.79375
14,120,60,1.0,0.0,4,0.98475,0.98325
14,120,60,1.0,0.0,6,0.9775,0.977
14,120,60,1.0,0.0,10,0.9675,0.967
14,160,80,0.0,0.0,4,0.0555,
14,160,80,0.0,0.0,6,0.03875,
14,160,80,0.0,0.0,10,0.0205,
14,160,80,0.5,0.0,4,0.5795,0.55825
14,160,80,0.5,0.0,6,0.51225,0.49725
14,160,80,0.5,0.0,10,0.4435,0.4325
14,160,80,0.65,0.0,4,0.84775,0.83925
14,160,80,0.65,0.0,6,0.809,0.802
14,160,80,0.65,0.0,10,0.7605,0.75525
14,160,80,0.7,0.0,4,0.90025,0.89825
14,160,80,0.7,0.0,6,0.87075,0.87
14,160,80,0.7,0.0,10,0.83075,0.82975
14,160,80,0.8,0.0,4,0.97175,0.97
14,160,80,0.8,0.0,6,0.95875,0.95675
14,160,80,0.8,0.0,10,0.94175,0.94025
14,160,80,1.0,0.0,4,0.99925,0.99925
14,160,80,1.0,0.0,6,0.999,0.999
14,160,80,1.0,0.0,10,0.998,0.998
20,48,24,0.0,0.0,4,0.15325,
20,48,24,0.0,0.0,6,0.1065,
20,48,24,0.0,0.0,10,0.06375,
20,48,24,0.5,0.0,4,0.2015,0.086
20,48,24,0.5,0.0,6,0.141,0.0665
20,48,24,0.5,0.0,10,0.09175,0.044
20,48,24,0.65,0.0,4,0.26725,0.16025
20,48,24,0.65,0.0,6,0.197,0.12125
20,48,24,0.65,0.0,10,0.13125,0.08425
20,48,24,0.7,0.0,4,0.294,0.1905
20,48,24,0.7,0.0,6,0.2235,0.14925
20,48,24,0.7,0.0,10,0.15075,0.106
20,48,24,0.8,0.0,4,0.34125,0.25875
20,48,24,0.8,0.0,6,0.2725,0.20975
20,48,24,0.8,0.0,10,0.19925,0.1565
20,48,24,1.0,0.0,4,0.50725,0.446
20,48,24,1.0,0.0,6,0.424,0.382
20,48,24,1.0,0.0,10,0.3345,0.30475
20,60,30,0.0,0.0,4,0.135,
20,60,30,0.0,0.0,6,0.09675,
20,60,30,0.0,0.0,10,0.05775,
20,60,30,0.5,0.0,4,0.2175,0.121
20,60,30,0.5,0.0,6,0.156,0.09
20,60,30,0.5,0.0,10,0.104,0.066
20,60,30,0.65,0.0,4,0.31175,0.22925
20,60,30,0.65,0.0,6,0.2405,0.186
20,60,30,0.65,0.0,10,0.17475,0.13975
20,60,30,0.7,0.0,4,0.3625,0.27775
20,60,30,0.7,0.0,6,0.2915,0.23325
20,60,30,0.7,0.0,10,0.213,0.17775
20,60,30,0.8,0.0,4,0.47025,0.403
20,60,30,0.8,0.0,6,0.38775,0.3405
20,60,30,0.8,0.0,10,0.29725,0.268
20,60,30,1.0,0.0,4,0.6595,0.6175
20,60,30,1.0,0.0,6,0.58325,0.5515
20,60,30,1.0,0.0,10,0.49825,0.4785
20,72,36,0.0,0.0,4,0.124,
20,72,36,0.0,0.0,6,0.0815,
20,72,36,0.0,0.0,10,0.05075,
20,72,36,0.5,0.0,4,0.256,0.165
20,72,36,0.5,0.0,6,0.1945,0.12975
20,72,36,0.5,0.0,10,0.13325,0.0925
20,72,36,0.65,0.0,4,0.39425,0.32725
20,72,36,0.65,0.0,6,0.31625,0.26925
20,72,36,0.65,0.0,10,0.24175,0.2125
20,72,36,0.7,0.0,4,0.46375,0.40075
20,72,36,0.7,0.0,6,0.38675,0.342
20,72,36,0.7,0.0,10,0.29925,0.27025
20,72,36,0.8,0.0,4,0.558,0.51125
20,72,36,0.8,0.0,6,0.48175,0.44625
20,72,36,0.8,0.0,10,0.39175,0.3675
20,72,36,1.0,0.0,4,0.78575,0.76575
20,72,36,1.0,0.0,6,0.73325,0.7165
20,72,36,1.0,0.0,10,0.66025,0.64925
20,84,42,0.0,0.0,4,0.1135,
20,84,42,0.0,0.0,6,0.0785,
20,84,42,0.0,0.0,10,0.047,
20,84,42,0.5,0.0,4,0.29825,0.22
20,84,42,0.5,0.0,6,0.2355,0.17725
20,84,42,0.5,0.0,10,0.17075,0.1335
20,84,42,0.65,0.0,4,0.4445,0.38525
20,84,42,0.65,0.0,6,0.36625,0.3265
20,84,42,0.65,0.0,10,0.29725,0.27175
20,84,42,0.7,0.0,4,0.541,0.4875
20,84,42,0.7,0.0,6,0.4605,0.42475
20,84,42,0.7,0.0,10,0.376,0.35325
20,84,42,0.8,0.0,4,0.666,0.6295
20,84,42,0.8,0.0,6,0.595,0.569
20,84,42,0.8,0.0,10,0.51775,0.502
20,84,42,1.0,0.0,4,0.874,0.863
20,84,42,1.0,0.0,6,0.833,0.824
20,84,42,1.0,0.0,10,0.774,0.7675
20,100,50,0.0,0.0,4,0.093,
20,100,50,0.0,0.0,6,0.05975,
20,100,50,0.0,0.0,10,0.03325,
20,100,50,0.5,0.0,4,0.33825,0.27125
20,100,50,0.5,0.0,6,0.26825,0.2225
20,100,50,0.5,0.0,10,0.206,0.17525
20,100,50,0.65,0.0,4,0.5545,0.51675
20,100,50,0.65,0.0,6,0.4875,0.462
20,100,50,0.65,0.0,10,0.408,0.3895
20,100,50,0.7,0.0,4,0.64425,0.61125
20,100,50,0.7,0.0,6,0.5725,0.55025
20,100,50,0.7,0.0,10,0.494,0.478
20,100,50,0.8,0.0,4,0.762,0.74325
20,100,50,0.8,0.0,6,0.7085,0.692
20,100,50,0.8,0.0,10,0.63825,0.626
20,100,50,1.0,0.0,4,0.94575,0.94025
20,100,50,1.0,0.0,6,0.929,0.924
20,100,50,1.0,0.0,10,0.89675,0.89275
20,120,60,0.0,0.0,4,0.086,
20,120,60,0.0,0.0,6,0.05525,
20,120,60,0.0,0.0,10,0.0315,
20,120,60,0.5,0.0,4,0.41525,0.36525
20,120,60,0.5,0.0,6,0.34325,0.311
20,120,60,0.5,0.0,10,0.2785,0.25875
20,120,60,0.65,0.0,4,0.67875,0.65175
20,120,60,0.65,0.0,6,0.6045,0.58525
20,120,60,0.65,0.0,10,0.52225,0.5105
20,120,60,0.7,0.0,4,0.7365,0.7175
