n_por_grupo,d,p_bf3,p_bf6,p_bf10,p_nulo
58,0.65,0.8451273111757536,0.7624599982758231,0.6953416210159211,0.007819989500653544
58,0.8,0.9650685589457876,0.9342957916996175,0.9037799005570422,0.0006346832567013445
58,1.0,0.9979826054903717,0.994879045017486,0.9908550666092198,8.653694031646953e-06
60,0.0,0.014573106867860362,0.006296290974248387,0.003431247822331145,0.7235742482120116
60,0.5,0.603008611627124,0.4854025031669773,0.4062597138855338,0.050090972063674626
60,0.65,0.8581858765666254,0.7798921099999709,0.7154298669514748,0.006890541814017372
60,0.8,0.9701639711642586,0.9429667335101796,0.9155450681569256,0.0005147496884940746
60,1.0,0.9984839191219816,0.9960679274948006,0.9928722174010643,6.0721672227093934e-06
62,0.0,0.014414559573549287,0.006238153256359451,0.003403204632777649,0.7294459214602858
62,0.5,0.619030075536106,0.5024893321416276,0.423196359468902,0.04690081285510132
62,0.65,0.8702812036101913,0.7962894938066969,0.7345328008225329,0.00606603478705124
62,0.8,0.9745577448622519,0.9505861220986291,0.9260218906511108,0.0004169659824441078
62,1.0,0.9988634140014971,0.9969892277438244,0.9944613511452619,4.253479228198795e-06
64,0.0,0.014260949218246355,0.0061814714026629984,0.003375730558381968,0.7349849011935901
64,0.5,0.6346016947793225,0.5192915518888876,0.43998941636706246,0.04388721581613918
64,0.65,0.8814673165600732,0.8116850556576238,0.7526608897701775,0.00533562646214127
64,0.8,0.9783387300279709,0.9572650874346155,0.9353259454902078,0.0003373658490262699
64,1.0,0.9991498998420186,0.9977008517856074,0.995708784731842,2.9747041722679775e-06
66,0.0,0.014112024184524811,0.0061261929553403675,0.0033488145816858252,0.7402212281502465
66,0.5,0.6497216307272794,0.5357941232112835,0.4566172609368734,0.04104411859578548
66,0.65,0.8917974507528091,0.826114405603778,0.7698295951564558,0.004689391876259342
66,0.8,0.9815859937549166,0.9631059856075547,0.9435669350167866,0.0002726619711879464
66,1.0,0.9993656006483776,0.9982488128914502,0.9966846289230342,2.077199801478196e-06
68,0.0,0.013967550393394236,0.006072267182337689,0.003322444901125647,0.7451812796212596
68,0.5,0.6643894282583727,0.551983728510024,0.4730598469552662,0.03836499112918654
68,0.65,0.9013236997966921,0.8396152096249914,0.7860586558992085,0.0041182931491010695
68,0.8,0.9843696095234366,0.9682025115069751,0.9508480869854559,0.00022013802513832462
68,1.0,0.9995275945463701,0.9986694973082587,0.9974455074660163,1.4483725234267688e-06
70,0.0,0.013827309781983061,0.006019645153403753,0.0032966091766951458,0.7498883251090949
70,0.5,0.6786059058783452,0.5678486963798438,0.4892986765487135,0.03584301335217796
70,0.65,0.9100967289925873,0.8522266114343152,0.8013714216121806,0.003614136131182827
70,0.8,0.9867514447136534,0.9726399538496566,0.9572657968170875,0.00017755553766140143
70,1.0,0.9996489578763241,0.9989915481033181,,1.0085075729594225e-06
72,0.0,0.013691098934950966,0.005968279775456221,0.003271294725148454,0.7543629821731148
72,0.5,0.6923730500049331,0.583378925062055,0.5053167662804721,0.033471212606983464
72,0.65,0.9181655475582908,0.8639887205810404,0.8157942365679749,0.0031695190855908625
72,0.8,0.9887859288287085,0.9764955548777488,0.9629094678816275,0.00014307427364121066
72,1.0,0.9997396686714529,0.9992374169535816,,7.012963979620988e-07
74,0.0,0.013558727857583469,0.005918125797682103,0.0032464886748943557,0.7586235930207494
74,0.5,0.7056939136232917,0.5985658052561388,0.5210986089976033,0.03124256976967721
74,0.65,0.9255773327491202,0.8749421628691284,0.8293558746132127,0.0027777772603946385
74,0.8,0.9905207898109352,0.9798389433317909,0.9678615110056534,0.000115184689588405
74,1.0,0.9998073160826947,0.9994246318301185,,4.870482169936425e-07
76,0.0,0.013430018862600947,0.005869139794318221,0.003222178088596124,0.7626865376572685
76,0.5,0.7185725193014013,0.6134021427459689,0.5366301320094862,0.029150100951579494
76,0.65,0.9323772993990214,0.8851276889084178,0.8420870244284415,0.002432926049409164
76,0.8,0.9919977497885373,0.9827326149044813,0.9721974692300074,9.265097322398385e-05
76,1.0,0.9998576545214716,,0.9991221613096286,3.378411352246253e-07
