K,N,n_por_grupo,D,R2,d_h,power_bf4,power_bf6,power_bf10
20,160,80,0.7,0.10913140311804007,0.0,0.122,0.105,0.08375
20,160,80,0.8,0.13793103448275862,0.0,0.23175,0.20575,0.177
20,160,80,1.0,0.2,0.0,0.61625,0.5775,0.533
20,200,100,0.0,0.0,0.0,0.00025,0.0,0.0
20,200,100,0.5,0.058823529411764705,0.0,0.026,0.021,0.01775
20,200,100,0.65,0.09553420011305823,0.0,0.12625,0.106,0.08525
20,200,100,0.7,0.10913140311804007,0.0,0.1875,0.165,0.145
20,200,100,0.8,0.13793103448275862,0.0,0.38225,0.3535,0.31275
20,200,100,1.0,0.2,0.0,0.80075,0.77425,0.74475
20,240,120,0.0,0.0,0.0,0.0,0.0,0.0
20,240,120,0.5,0.058823529411764705,0.0,0.04525,0.03725,0.0285
20,240,120,0.65,0.09553420011305823,0.0,0.17475,0.15525,0.13375
20,240,120,0.7,0.10913140311804007,0.0,0.28,0.25075,0.21925
20,240,120,0.8,0.13793103448275862,0.0,0.50525,0.472,0.43175
20,240,120,1.0,0.2,0.0,0.917,0.9055,0.88025
20,280,140,0.0,0.0,0.0,0.0,0.0,0.0
20,280,140,0.5,0.058823529411764705,0.0,0.04825,0.04125,0.0355
20,280,140,0.65,0.09553420011305823,0.0,0.25925,0.23675,0.20675
20,280,140,0.7,0.10913140311804007,0.0,0.3655,0.329,0.295
20,280,140,0.8,0.13793103448275862,0.0,0.63625,0.60575,0.569
20,280,140,1.0,0.2,0.0,0.965,0.9595,0.9495
20,320,160,0.0,0.0,0.0,0.0,0.0,0.0
20,320,160,0.5,0.058823529411764705,0.0,0.06025,0.0515,0.0415
20,320,160,0.65,0.09553420011305823,0.0,0.3265,0.3005,0.27125
20,320,160,0.7,0.10913140311804007,0.0,0.47275,0.44125,0.4025
20,320,160,0.8,0.13793103448275862,0.0,0.75375,0.72775,0.697
20,320,160,1.0,0.2,0.0,0.9885,0.98575,0.982
