K,n_true,n,rho,umbral_bf,p_any,p_true
14,1,60,0.3,6,0.24375,0.21125
14,1,60,0.3,10,0.1865,0.16525
14,1,60,0.4,4,0.56725,0.53225
14,1,60,0.4,6,0.49825,0.47325
14,1,60,0.4,10,0.4175,0.4005
14,1,72,0.0,4,0.0865,
14,1,72,0.0,6,0.05725,
14,1,72,0.0,10,0.03475,
14,1,72,0.3,4,0.3945,0.35375
14,1,72,0.3,6,0.332,0.30225
14,1,72,0.3,10,0.26225,0.2455
14,1,72,0.4,4,0.692,0.6735
14,1,72,0.4,6,0.62825,0.61375
14,1,72,0.4,10,0.55475,0.54475
14,1,85,0.0,4,0.07925,
14,1,85,0.0,6,0.0525,
14,1,85,0.0,10,0.03225,
14,1,85,0.3,4,0.46775,0.429
14,1,85,0.3,6,0.39925,0.37025
14,1,85,0.3,10,0.32375,0.305
14,1,85,0.4,4,0.786,0.772
14,1,85,0.4,6,0.72825,0.71775
14,1,85,0.4,10,0.6645,0.6575
14,1,100,0.0,4,0.07025,
14,1,100,0.0,6,0.04675,
14,1,100,0.0,10,0.02525,
14,1,100,0.3,4,0.54625,0.523
14,1,100,0.3,6,0.47725,0.461
14,1,100,0.3,10,0.406,0.39625
14,1,100,0.4,4,0.871,0.862
14,1,100,0.4,6,0.8305,0.825
14,1,100,0.4,10,0.7835,0.77875
14,1,120,0.0,4,0.063,
14,1,120,0.0,6,0.04025,
14,1,120,0.0,10,0.02275,
14,1,120,0.3,4,0.65275,0.63225
14,1,120,0.3,6,0.59175,0.5775
14,1,120,0.3,10,0.518,0.50675
14,1,120,0.4,4,0.93825,0.93625
14,1,120,0.4,6,0.921,0.91925
14,1,120,0.4,10,0.88225,0.8805
14,1,140,0.0,4,0.061,
14,1,140,0.0,6,0.0375,
14,1,140,0.0,10,0.0215,
14,1,140,0.3,4,0.73775,0.72675
14,1,140,0.3,6,0.689,0.68
14,1,140,0.3,10,0.627,0.6205
14,1,140,0.4,4,0.9695,0.968
14,1,140,0.4,6,0.95925,0.95725
14,1,140,0.4,10,0.937,0.93525
14,1,160,0.0,4,0.0495,
14,1,160,0.0,6,0.03575,
14,1,160,0.0,10,0.0205,
14,1,160,0.3,4,0.8035,0.7955
14,1,160,0.3,6,0.761,0.75625
14,1,160,0.3,10,0.706,0.7035
14,1,160,0.4,4,0.98975,0.98975
14,1,160,0.4,6,0.98375,0.98375
14,1,160,0.4,10,0.974,0.974
